,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext
2020-09-01 08:07:00,3.9875000000000003,0.61306875
2020-09-01 08:08:00,3.96,0.61306875
2020-09-01 08:09:00,3.9000000000000004,0.61306875
2020-09-01 08:10:00,3.5749999999999997,0.61306875
2020-09-01 08:11:00,3.850000000000001,0.61306875
2020-09-01 08:12:00,3.3825,0.61306875
2020-09-01 08:13:00,3.3274999999999992,0.61306875
2020-09-01 08:14:00,3.5750000000000006,0.61306875
2020-09-01 08:15:00,3.63,0.61306875
2020-09-01 08:16:00,3.6024999999999996,0.61306875
2020-09-01 08:17:00,4.257,0.61306875
2020-09-01 08:18:00,4.17,0.61306875
2020-09-01 08:19:00,4.619999999999999,0.61306875
2020-09-01 08:20:00,4.674999999999999,0.61306875
2020-09-01 08:21:00,4.455,0.61306875
2020-09-01 08:22:00,4.7299999999999995,0.61306875
2020-09-01 08:23:00,4.3999999999999995,0.61306875
2020-09-01 08:24:00,4.950000000000001,0.61306875
2020-09-01 08:25:00,4.3725,0.61306875
2020-09-01 08:26:00,4.29,0.61306875
2020-09-01 08:27:00,4.3999999999999995,0.61306875
2020-09-01 08:28:00,4.29,0.61306875
2020-09-01 08:29:00,4.427499999999999,0.61306875
2020-09-01 08:30:00,4.29,0.61306875
2020-09-01 08:31:00,4.319999999999999,0.61306875
2020-09-01 08:32:00,4.29,0.61306875
2020-09-01 08:33:00,4.1525,0.61306875
2020-09-01 08:34:00,4.3999999999999995,0.61306875
2020-09-01 08:35:00,4.2299999999999995,0.61306875
2020-09-01 08:36:00,4.29,0.61306875
2020-09-01 08:37:00,4.5375000000000005,0.61306875
2020-09-01 08:38:00,4.719000000000001,0.61306875
2020-09-01 08:39:00,4.68,0.61306875
2020-09-01 08:40:00,4.29,0.61306875
2020-09-01 08:41:00,4.44,0.61306875
2020-09-01 08:42:00,4.619999999999999,0.61306875
2020-09-01 08:43:00,4.17,0.61306875
2020-09-01 08:44:00,4.234999999999999,0.61306875
2020-09-01 08:45:00,4.2625,0.61306875
2020-09-01 08:46:00,3.8774999999999995,0.61306875
2020-09-01 08:47:00,4.2625,0.61306875
2020-09-01 08:48:00,4.0975,0.61306875
2020-09-01 08:49:00,4.097499999999999,0.61306875
2020-09-01 08:50:00,4.319999999999999,0.61306875
2020-09-01 08:51:00,4.29,0.61306875
2020-09-01 08:52:00,4.436666666666667,0.61306875
2020-09-01 08:53:00,4.47,0.61306875
2020-09-01 08:54:00,4.29,0.61306875
2020-09-01 08:55:00,4.89,0.61306875
2020-09-01 08:56:00,4.379999999999999,0.61306875
2020-09-01 08:57:00,4.647499999999999,0.61306875
2020-09-01 08:58:00,5.170000000000001,0.99356875
2020-09-01 08:59:00,4.812500000000001,0.99356875
2020-09-01 09:00:00,5.214,0.99356875
2020-09-01 09:01:00,5.197500000000001,0.99356875
2020-09-01 09:02:00,5.130000000000001,0.99356875
2020-09-01 09:03:00,5.130000000000001,0.99356875
2020-09-01 09:04:00,4.977500000000001,0.99356875
2020-09-01 09:05:00,5.28,0.99356875
